,번호,평점,영화,140자 평,글쓴이,날짜
0,15922325,1,사일런스,그냥 보지마세요 진짜 ㅋㅋㅋ 역대급 노잼영화 공짜티켓으러 본거라서 그나마 현타는 덜하네요 ㅋㅋ ,eorl****,19.07.21
1,15922324,8,라이온 킹,CG라고 생각되지 않고  사실적이었어요.~~ ,twin****,19.07.21
2,15922323,1,킬러들의 수다,화이아빠 이재용 비슷하게 분장하느라 수고많았소. 정말 영화계 좌파성향 알아줘야한다. 졌다. ㅎㅎ ,mkus****,19.07.21
3,15922322,10,알라딘,짱 잼나요 ost를 아이가 계속듣네요 ,tara****,19.07.21
4,15922321,9,행복한 라짜로,요즘  탐욕스러운 인간에게 당한 나로서는  너무나 뭔가를 생각하게   만드는 영화였다. 타락한 인간은 절대 달라지지않아 영화로서 치유가 되는 감성~~ ,hosa****,19.07.21
5,15922320,10,곡성(哭聲),"이 영화는 1점 주는게 이해간다 철학적 영화도 아니고 웃긴, 열린결말도 아니다. 다만 감독은 "" 영화가 끝날때 영화가 시작 된다. "" 라는 말을 했고 이 말을 이해 한 사람만이 영화가 끝난뒤에 소름이 돋는 경험을 한다 ",tjdd****,19.07.21
6,15922319,1,스파이더맨: 파 프롬 홈,"솔직히 최악이었음, 여주인공 도 안이뻐서 집중이안됨.누가 캐스팅한거임. ",salt****,19.07.21
7,15922318,1,명탐정 코난: 칠흑의 추적자,일본영화는 재미없어!  디즈니영화가 짱 ,lhj1****,19.07.21
8,15922316,10,라이온 킹,걍 보세요 최고임 품바 진짜ㅋㅋ ,psyc****,19.07.21
9,15922315,1,사바하,욕나오더라 돈이 참 아깝더라 ,casi****,19.07.21
