번호|평점|영화|140자평|글쓴이|날짜
15922521|7|알라딘|원작을 보기 전에 봐서 그런지 나름 괜찮았음. 근데 자파는 미스캐스팅. |yser****|19.07.21
15922520|10|라이온 킹|오프닝부터 넘 감동!!!참 만들기 어려울 거라 생각했는데 완벽하게 실사로 탄생한 우리 심바!!!감동이였습니다!!! |gree****|19.07.21
15922519|10|정글|몰입감 최고. 내가 정글 안에 있는 것 같다 |bobo****|19.07.21
15922518|10|라이온 킹|두딸들과 너무 재밌게 잘봤어요애니메이션 내용과 너무 똑같이 그대로 해서 뭔가 좀 아쉬웠지만 연출과 효과 부분은 정말 최고네요cg라고 생각이 안드네요 |hjhj****|19.07.21
15922517|1|이웃집 토토로|일봉이이이가라가가우수라이 |kiam****|19.07.21
15922516|10|라이온 킹|어릴때 보고 30대때 보고... 잼잇어요 ㅋㅋ |hale****|19.07.21
15922515|9|스파이더맨: 파 프롬 홈|홈커밍, 어메2보다 나은거 같음 |sino****|19.07.21
15922514|1|13년의 공백|뭐야 그냥그냐윽냥아카처 |kiam****|19.07.21
15922512|10|라이온 킹|내가 여태 본 만화 실사 영화 중 최고인듯 |dkro****|19.07.21
15922511|10|타짜|세상모든일에 만약은 없지만 5년만 늦게 개봉했으면 천만넘었을거같음 최동훈감독이 만든영화들을 거꾸로 개봉했으면 싹다 천만봅니다 |real****|19.07.21
